date_q,ticker,price,assetTurnover,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShare,grossMargin,inventoryTurnover,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatio,pb,pe,pfcf,pretaxMargin,ps,ptbv,quickRatio,receivablesTurnover,roa,roe,roic,rotc,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio,finnhubIndustry,roa_sector_ratio,roe_sector_ratio,roic_sector_ratio,rotc_sector_ratio,ev_sector_ratio,ebitPerShare_sector_ratio,sentiment_avg_q,sentiment_sd_q,sentiment_num_q
2021-12-31,ACU,31.30607112761467,1.2999,77.082,0.2388815646376271,4.6979,0.78,0.5962,159.6243,0.0055,-0.3499,0.3506,2.25,0.3054,0.3628,0.5724,0.3262,0.5146,0.051,0.0667,0.1296,1.5563,8.7847,4.7387,0.0619,0.6588,2.0043,1.9267,5.9318,0.0975,0.1866,0.1161,0.1384,11.6999,0.6494,59.8514,0.5774,0.3081,0.366,2.1444,Commercial Services & Supplies,0.0056586701757515,-0.1916055021378491,-0.2771557753916228,-0.4558659806718094,0.03270276474725,-0.9384182112101832,,,
2021-12-31,ADAG,6.287354826927185,,156.5587,5.847755559586895,6.2355,-0.6391,-0.6597,184.6921,,,,,0.0158,0.0182,0.0191,-1.0174,-1.0661,-32.7436,-31.9231,,2.2458,,,-32.7436,,,6.0995,,,,,,0.1616,,,0.0478,0.0395,0.0457,5.7511,Biotechnology,,,,,0.0802736608627318,0.0100595323375943,,,
2021-12-31,ADC-PA,18.071959126380182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,ADD,1490.3225806451612,0.122,,3.590909090909091,11.9091,-0.3804,-0.1656,,0.4759,-18.9162,0.1674,54.95,,,,-0.0797,-0.0797,-2.133,-2.1459,,,,,-2.133,,,4.6818,0.9996,-0.0417,-0.0432,-0.0432,-0.067,2.8926,0.8326,,0.0,0.0,0.0,46.0,Diversified Consumer Services,0.215870433367845,0.1142525636869316,0.1180733726558573,0.1949026894131336,,0.1531835324025926,,,
2021-12-31,ADOOY,6.003225172719648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,ADSE,8.386419280882805,,,4.0,4.6667,-0.3467,-1.9611,431.8256,,,-0.3136,,,,,-0.9167,,-6.8225,-1.206,,,,,-6.7883,,,4.3333,,,,,,0.2874,1.3136,,,0.0588,0.0833,2.8333,Electrical Equipment,,,,,0.1080720101293287,-1.3634462426360667,,,
2021-12-31,ADTX,33886.45161290323,,5.96,2.18005540166205,2.6094,-31.5658,-31.6447,13.9512,,-1165.0,0.2727,,,,,-0.3617,-0.6493,-218.6364,-218.0909,,6.3213,,,-218.6364,,3.3348,2.3463,,-2.6433,-1.8988,-1.5396,-1.4856,0.1447,0.7273,11.08,0.7953,0.0486,0.443,2.571,Biotechnology,0.8461834275392659,2.772044814839058,2.469636811435791,2.2903103311687754,0.0060636805658073,0.4968505489939517,,,
2021-12-31,AEI,8.141935510020103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AEO,19.58406795993928,1.3622,1396.7,0.4195032198712051,2.0417,1.0229,0.7424,4240.27,0.0516,0.9609,0.4431,4.3887,0.0897,0.194,0.2407,-0.0165,-0.0205,0.1195,0.1646,6.5429,3.0564,11.4539,10.1102,0.1603,0.8902,3.1767,1.1144,27.1606,0.1059,0.3021,0.2382,0.329,6.2151,0.5569,1343.8,0.2407,0.0897,0.194,1.5935,Retail,2.5909658306010015,1.1483791665394936,1.1830382390046548,2.0233066539778872,0.0829419288227847,-0.2919539439625367,,,
2021-12-31,AER,59.47489984573856,0.1027,16571.0,0.3423084537715304,1.4755,2.0965,0.4284,64496.0,0.0491,7.7714,0.8858,7.8213,0.6733,0.7518,3.0297,0.7259,2.9254,0.0626,0.3066,,0.9667,7.0624,26.8533,0.065,3.12,1.3442,0.4682,29.1739,0.02,0.089,0.0223,0.051,6.8384,0.1143,11918.0,3.0297,0.6733,0.7518,1.2857,Trading Companies & Distributors,0.300739656994229,0.6261051430744367,0.2335210709534995,0.3312327757201285,5.565446448415801,1.3783989994128585,,,
2021-12-31,AERGP,3.7936298847198486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
