,ticker,date_m,sentiment_avg_m,sentiment_num_m,sentiment_sd_m,date_q,sentiment_avg_q,sentiment_num_q,sentiment_sd_q
3094,CPPTL,2024-03-31,1.0,2,0.0,2024-03-31 23:59:59.999999999,1.0,6,0.6324555320336759
3095,CPPTL,2024-05-31,1.0,1,,2024-06-30 23:59:59.999999999,1.0,1,
3096,CPPTL,2024-11-30,1.0,1,,2024-12-31 23:59:59.999999999,1.0,2,0.0
3097,CPPTL,2024-12-31,1.0,1,,2024-12-31 23:59:59.999999999,1.0,2,0.0
3098,CPRI,2024-10-31,0.8571428571428571,63,0.5638903707551803,2024-12-31 23:59:59.999999999,0.8611111111111112,144,0.621425286071774
3099,CPRI,2024-11-30,0.7924528301886793,53,0.6609576550511252,2024-12-31 23:59:59.999999999,0.8611111111111112,144,0.621425286071774
3100,CPRI,2024-12-31,1.0,28,0.6666666666666666,2024-12-31 23:59:59.999999999,0.8611111111111112,144,0.621425286071774
3101,CPRI,2025-01-31,1.0576923076923077,52,0.46075222121161047,2025-03-31 23:59:59.999999999,0.9838709677419355,62,0.495618027294585
3102,CPRI,2025-02-28,0.6,10,0.5163977794943222,2025-03-31 23:59:59.999999999,0.9838709677419355,62,0.495618027294585
3103,CPS,2024-02-29,1.0,4,0.816496580927726,2024-03-31 23:59:59.999999999,1.0,11,0.6324555320336759
3104,CPS,2024-03-31,1.0,7,0.5773502691896257,2024-03-31 23:59:59.999999999,1.0,11,0.6324555320336759
3105,CPS,2024-04-30,1.4285714285714286,7,0.5345224838248488,2024-06-30 23:59:59.999999999,1.2058823529411764,34,0.5382019315025577
3106,CPS,2024-05-31,1.0454545454545454,22,0.4857270179130825,2024-06-30 23:59:59.999999999,1.2058823529411764,34,0.5382019315025577
3107,CPS,2024-06-30,1.6,5,0.5477225575051661,2024-06-30 23:59:59.999999999,1.2058823529411764,34,0.5382019315025577
3108,CPS,2024-07-31,1.3333333333333333,6,0.5163977794943223,2024-09-30 23:59:59.999999999,1.0810810810810811,37,0.43322937075836365
3109,CPS,2024-08-31,1.0,24,0.4170288281141496,2024-09-30 23:59:59.999999999,1.0810810810810811,37,0.43322937075836365
3110,CPS,2024-09-30,1.1428571428571428,7,0.3779644730092272,2024-09-30 23:59:59.999999999,1.0810810810810811,37,0.43322937075836365
3111,CPS,2024-10-31,1.2352941176470589,17,0.562295714538387,2024-12-31 23:59:59.999999999,1.1951219512195121,41,0.5576518714718867
3112,CPS,2024-11-30,1.1578947368421053,19,0.5014598571212789,2024-12-31 23:59:59.999999999,1.1951219512195121,41,0.5576518714718867
3113,CPS,2024-12-31,1.2,5,0.8366600265340756,2024-12-31 23:59:59.999999999,1.1951219512195121,41,0.5576518714718867
3114,CPS,2025-01-31,1.5,2,0.7071067811865476,2025-03-31 23:59:59.999999999,1.5,4,0.5773502691896257
3115,CPS,2025-02-28,1.5,2,0.7071067811865476,2025-03-31 23:59:59.999999999,1.5,4,0.5773502691896257
3116,CPTP,2024-10-31,1.0,2,0.0,2024-12-31 23:59:59.999999999,1.0,2,0.0
3117,CRARF,2024-02-29,2.0,1,,2024-03-31 23:59:59.999999999,1.4,5,0.5477225575051662
3118,CRARF,2024-03-31,1.25,4,0.5,2024-03-31 23:59:59.999999999,1.4,5,0.5477225575051662
3119,CRARF,2024-04-30,1.0,6,0.6324555320336759,2024-06-30 23:59:59.999999999,1.2727272727272727,22,0.7025001733142089
3120,CRARF,2024-05-31,1.4444444444444444,9,0.7264831572567789,2024-06-30 23:59:59.999999999,1.2727272727272727,22,0.7025001733142089
3121,CRARF,2024-06-30,1.2857142857142858,7,0.7559289460184544,2024-06-30 23:59:59.999999999,1.2727272727272727,22,0.7025001733142089
3122,CRARF,2024-07-31,1.1666666666666667,6,0.408248290463863,2024-09-30 23:59:59.999999999,1.2380952380952381,21,0.5389584311207966
3123,CRARF,2024-08-31,1.2,10,0.6324555320336759,2024-09-30 23:59:59.999999999,1.2380952380952381,21,0.5389584311207966
3124,CRARF,2024-09-30,1.4,5,0.5477225575051662,2024-09-30 23:59:59.999999999,1.2380952380952381,21,0.5389584311207966
3125,CRARF,2024-10-31,1.0,4,0.0,2024-12-31 23:59:59.999999999,1.1290322580645162,31,0.5622535302317492
3126,CRARF,2024-11-30,1.125,8,0.8345229603962802,2024-12-31 23:59:59.999999999,1.1290322580645162,31,0.5622535302317492
3127,CRARF,2024-12-31,1.1578947368421053,19,0.501459857121279,2024-12-31 23:59:59.999999999,1.1290322580645162,31,0.5622535302317492
3128,CRARF,2025-02-28,,0,,2025-03-31 23:59:59.999999999,,0,
3129,CRARY,2024-02-29,1.0,2,0.0,2024-03-31 23:59:59.999999999,1.0833333333333333,12,0.28867513459481287
3130,CRARY,2024-03-31,1.1,10,0.31622776601683794,2024-03-31 23:59:59.999999999,1.0833333333333333,12,0.28867513459481287
3131,CRARY,2024-04-30,1.0,6,0.6324555320336759,2024-06-30 23:59:59.999999999,1.162162162162162,37,0.5534494613840601
3132,CRARY,2024-05-31,1.2666666666666666,15,0.5936168397046636,2024-06-30 23:59:59.999999999,1.162162162162162,37,0.5534494613840601
3133,CRARY,2024-06-30,1.125,16,0.5,2024-06-30 23:59:59.999999999,1.162162162162162,37,0.5534494613840601
3134,CRARY,2024-07-31,1.0909090909090908,11,0.30151134457776363,2024-09-30 23:59:59.999999999,1.135135135135135,37,0.4191368221424547
3135,CRARY,2024-08-31,1.105263157894737,19,0.45883146774112354,2024-09-30 23:59:59.999999999,1.135135135135135,37,0.4191368221424547
3136,CRARY,2024-09-30,1.2857142857142858,7,0.48795003647426666,2024-09-30 23:59:59.999999999,1.135135135135135,37,0.4191368221424547
3137,CRARY,2024-10-31,1.0,7,0.0,2024-12-31 23:59:59.999999999,1.1142857142857143,35,0.5297851157852238
3138,CRARY,2024-11-30,1.1111111111111112,9,0.7817359599705717,2024-12-31 23:59:59.999999999,1.1142857142857143,35,0.5297851157852238
3139,CRARY,2024-12-31,1.1578947368421053,19,0.501459857121279,2024-12-31 23:59:59.999999999,1.1142857142857143,35,0.5297851157852238
3140,CRARY,2025-02-28,,0,,2025-03-31 23:59:59.999999999,,0,
3141,CRCT,2024-02-29,1.0,1,,2024-03-31 23:59:59.999999999,1.0416666666666667,24,0.4643056214875365
3142,CRCT,2024-03-31,1.0434782608695652,23,0.47465402419841235,2024-03-31 23:59:59.999999999,1.0416666666666667,24,0.4643056214875365
3143,CRCT,2024-04-30,0.8,5,0.4472135954999579,2024-06-30 23:59:59.999999999,1.0,50,0.45175395145262565
3144,CRCT,2024-05-31,1.054054054054054,37,0.468208521087794,2024-06-30 23:59:59.999999999,1.0,50,0.45175395145262565
3145,CRCT,2024-06-30,0.875,8,0.3535533905932738,2024-06-30 23:59:59.999999999,1.0,50,0.45175395145262565
3146,CRCT,2024-07-31,1.0,4,0.0,2024-09-30 23:59:59.999999999,1.3170731707317074,41,0.5674074545793305
3147,CRCT,2024-08-31,1.1428571428571428,21,0.4780914437337574,2024-09-30 23:59:59.999999999,1.3170731707317074,41,0.5674074545793305
3148,CRCT,2024-09-30,1.625,16,0.6191391873668902,2024-09-30 23:59:59.999999999,1.3170731707317074,41,0.5674074545793305
3149,CRCT,2024-10-31,1.6666666666666667,6,0.5163977794943223,2024-12-31 23:59:59.999999999,1.4666666666666666,15,0.6399404734221844
3150,CRCT,2024-11-30,1.25,8,0.7071067811865476,2024-12-31 23:59:59.999999999,1.4666666666666666,15,0.6399404734221844
3151,CRCT,2024-12-31,2.0,1,,2024-12-31 23:59:59.999999999,1.4666666666666666,15,0.6399404734221844
3152,CRCT,2025-01-31,1.6666666666666667,3,0.5773502691896258,2025-03-31 23:59:59.999999999,1.75,4,0.5
3153,CRCT,2025-02-28,2.0,1,,2025-03-31 23:59:59.999999999,1.75,4,0.5
3154,CREG,2024-02-29,1.0,3,0.0,2024-03-31 23:59:59.999999999,1.0,7,0.0
3155,CREG,2024-03-31,1.0,4,0.0,2024-03-31 23:59:59.999999999,1.0,7,0.0
3156,CREG,2024-04-30,1.0,7,0.0,2024-06-30 23:59:59.999999999,1.0,14,0.0
3157,CREG,2024-05-31,1.0,5,0.0,2024-06-30 23:59:59.999999999,1.0,14,0.0
3158,CREG,2024-06-30,1.0,2,0.0,2024-06-30 23:59:59.999999999,1.0,14,0.0
3159,CREG,2024-08-31,1.0,3,0.0,2024-09-30 23:59:59.999999999,1.0,4,0.0
3160,CREG,2024-09-30,1.0,1,,2024-09-30 23:59:59.999999999,1.0,4,0.0
3161,CREG,2024-10-31,1.0,8,0.0,2024-12-31 23:59:59.999999999,1.0,8,0.0
3162,CRESW,2024-05-31,1.0,1,,2024-06-30 23:59:59.999999999,1.0,1,
3163,CRESW,2024-09-30,1.0,2,0.0,2024-09-30 23:59:59.999999999,1.0,2,0.0
3164,CRESW,2024-11-30,0.75,4,0.5,2024-12-31 23:59:59.999999999,0.75,4,0.5
3165,CRESY,2024-04-30,1.0,2,0.0,2024-06-30 23:59:59.999999999,1.0,19,0.0
3166,CRESY,2024-05-31,1.0,10,0.0,2024-06-30 23:59:59.999999999,1.0,19,0.0
3167,CRESY,2024-06-30,1.0,7,0.0,2024-06-30 23:59:59.999999999,1.0,19,0.0
3168,CRESY,2024-08-31,0.6666666666666666,3,0.5773502691896258,2024-09-30 23:59:59.999999999,0.9090909090909091,11,0.30151134457776363
3169,CRESY,2024-09-30,1.0,8,0.0,2024-09-30 23:59:59.999999999,0.9090909090909091,11,0.30151134457776363
3170,CRESY,2024-10-31,1.0,7,0.0,2024-12-31 23:59:59.999999999,1.0769230769230769,13,0.49354811679282456
3171,CRESY,2024-11-30,1.1666666666666667,6,0.752772652709081,2024-12-31 23:59:59.999999999,1.0769230769230769,13,0.49354811679282456
3172,CREV,2024-02-29,1.0,6,0.0,2024-03-31 23:59:59.999999999,1.1818181818181819,22,0.3947710169758613
3173,CREV,2024-03-31,1.25,16,0.44721359549995787,2024-03-31 23:59:59.999999999,1.1818181818181819,22,0.3947710169758613
3174,CREV,2024-04-30,1.1538461538461537,13,0.3755338080994054,2024-06-30 23:59:59.999999999,1.1363636363636365,22,0.35125008665710444
3175,CREV,2024-05-31,1.0,4,0.0,2024-06-30 23:59:59.999999999,1.1363636363636365,22,0.35125008665710444
3176,CREV,2024-06-30,1.2,5,0.4472135954999579,2024-06-30 23:59:59.999999999,1.1363636363636365,22,0.35125008665710444
3177,CREV,2024-07-31,1.0909090909090908,11,0.30151134457776363,2024-09-30 23:59:59.999999999,1.1428571428571428,14,0.36313651960128146
3178,CREV,2024-08-31,1.5,2,0.7071067811865476,2024-09-30 23:59:59.999999999,1.1428571428571428,14,0.36313651960128146
3179,CREV,2024-09-30,1.0,1,,2024-09-30 23:59:59.999999999,1.1428571428571428,14,0.36313651960128146
3180,CREV,2024-11-30,1.0,2,0.0,2024-12-31 23:59:59.999999999,1.0,3,0.0
3181,CREV,2024-12-31,1.0,1,,2024-12-31 23:59:59.999999999,1.0,3,0.0
3182,CRGO,2024-02-29,1.0,9,0.0,2024-03-31 23:59:59.999999999,1.1333333333333333,15,0.3518657752744984
3183,CRGO,2024-03-31,1.3333333333333333,6,0.5163977794943222,2024-03-31 23:59:59.999999999,1.1333333333333333,15,0.3518657752744984
3184,CRGO,2024-04-30,1.0,3,0.0,2024-06-30 23:59:59.999999999,1.2272727272727273,22,0.4289320272288885
3185,CRGO,2024-05-31,1.2307692307692308,13,0.4385290096535146,2024-06-30 23:59:59.999999999,1.2272727272727273,22,0.4289320272288885
3186,CRGO,2024-06-30,1.3333333333333333,6,0.5163977794943223,2024-06-30 23:59:59.999999999,1.2272727272727273,22,0.4289320272288885
3187,CRGO,2024-07-31,1.0,1,,2024-09-30 23:59:59.999999999,1.1818181818181819,22,0.3947710169758615
3188,CRGO,2024-08-31,1.1111111111111112,18,0.32338083338177737,2024-09-30 23:59:59.999999999,1.1818181818181819,22,0.3947710169758615
3189,CRGO,2024-09-30,1.6666666666666667,3,0.5773502691896258,2024-09-30 23:59:59.999999999,1.1818181818181819,22,0.3947710169758615
3190,CRGO,2024-10-31,1.25,4,0.5,2024-12-31 23:59:59.999999999,1.5789473684210527,19,0.5072572735017881
3191,CRGO,2024-11-30,1.5454545454545454,11,0.5222329678670935,2024-12-31 23:59:59.999999999,1.5789473684210527,19,0.5072572735017881
3192,CRGO,2024-12-31,2.0,4,0.0,2024-12-31 23:59:59.999999999,1.5789473684210527,19,0.5072572735017881
3193,CRGX,2024-02-29,1.0,1,,2024-03-31 23:59:59.999999999,1.0,10,0.0
3194,CRGX,2024-03-31,1.0,9,0.0,2024-03-31 23:59:59.999999999,1.0,10,0.0
3195,CRGX,2024-04-30,1.0,4,0.0,2024-06-30 23:59:59.999999999,1.12,25,0.33166247903553997
3196,CRGX,2024-05-31,1.2,15,0.41403933560541245,2024-06-30 23:59:59.999999999,1.12,25,0.33166247903553997
3197,CRGX,2024-06-30,1.0,6,0.0,2024-06-30 23:59:59.999999999,1.12,25,0.33166247903553997
3198,CRGX,2024-07-31,1.0,3,1.0,2024-09-30 23:59:59.999999999,1.0769230769230769,13,0.49354811679282456
3199,CRGX,2024-08-31,1.1,10,0.31622776601683794,2024-09-30 23:59:59.999999999,1.0769230769230769,13,0.49354811679282456
3200,CRGX,2024-10-31,0.5,2,0.7071067811865476,2024-12-31 23:59:59.999999999,1.3,10,0.6749485577105528
3201,CRGX,2024-11-30,1.4,5,0.5477225575051662,2024-12-31 23:59:59.999999999,1.3,10,0.6749485577105528
3202,CRGX,2024-12-31,1.6666666666666667,3,0.5773502691896257,2024-12-31 23:59:59.999999999,1.3,10,0.6749485577105528
3203,CRGX,2025-01-31,1.1428571428571428,7,0.3779644730092272,2025-03-31 23:59:59.999999999,1.1428571428571428,7,0.3779644730092272
3204,CRI,2024-04-30,1.0,9,0.5,2024-06-30 23:59:59.999999999,1.1612903225806452,31,0.522607194334227
