"date_q","ticker","price","assetTurnover","bookValue","cashRatio","currentRatio","ebitPerShare","eps","fcfPerShare","grossMargin","longtermDebtTotalAsset","longtermDebtTotalCapital","longtermDebtTotalEquity","netDebtToTotalCapital","netDebtToTotalEquity","netMargin","operatingMargin","pb","pretaxMargin","ps","quickRatio","roa","roe","roic","rotc","salesPerShare","sgaToSale","totalDebtToEquity","totalDebtToTotalAsset","totalDebtToTotalCapital","totalRatio","finnhubIndustry","roa_sector_ratio","roe_sector_ratio","roic_sector_ratio","rotc_sector_ratio","ev_sector_ratio","ebitPerShare_sector_ratio","roa__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roa__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","roe__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roe__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","roic__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roic__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","rotc__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","rotc__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","ev__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","ev__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","ebitPerShare__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","ebitPerShare__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean"""
2021-09-30,"AMPY",4.61758064839148,0.7759,437.5,0.121745249824067,0.5123,-0.2711,-0.3553,1.0132,0.6443,0.5666,1.772,0.1385,1.6387,0.1275,-0.1392,-0.1062,0.2851,-0.1392,0.6605,0.437,-0.2677,0.0703,0.0646,0.0834,2.5526,0.3557,0.1385,0.5666,1.772,0.802,"Energy",0.0217990859770184,-0.880348821909355,-1.30492633551192,-23.560286591607,0.0078865373975128,-0.50047592550162,-0.0931285714285714,0.004523598209626,0.0460506493506493,0.323019717061013,0.0233380519480519,0.502599605755119,0.0188511688311688,0.584592141227806,-0.143272597402597,0.978245685364152,-0.294942467532468,0.154761715345707
2021-09-30,"AMZN",154.51549185476,1.3207,120564,0.241495556236592,1.1172,0.4711,0.3064,-0.2255,0.4321,0.1309,0.2543,0.4152,0.2355,0.3845,0.0285,0.0438,13.7991,0.0389,3.6328,0.8678,0.0757,0.2431,0.1482,0.1596,10.7584,0.5679,0.6329,0.1995,0.3876,1.4604,"Retail",1.8520879450094,0.9241012094861,0.736046461043198,0.981518972567996,33.4491910313425,-0.134460360739809,0.0030090909090909,1.3516313869736e-06,0.0084171428571428,7.69227248704111e-05,0.0060307792207792,1.28336939858805e-07,0.0044496103896103,4.85788098861945e-05,72004.8974025974,2.04568209363747e-11,0.0339254545454545,2.32781309774672e-08
2021-09-30,"ANGO",22.6891934794764,0.5206,436,0.681381957773512,2.5202,-0.2091,-0.18,0.4162,0.5215,0.0515,0.0619,0.0659,-0.0228,-0.0241,-0.0906,-0.1052,2.4953,-0.1119,3.6538,1.3608,-0.0599,-0.0768,-0.0721,-0.0806,1.9873,0.4785,0.0573,0.045,0.0542,4.6394,"Health Care",0.189642760838999,0.254006035618651,0.314363110413807,0.359318295344478,0.11292048058716,0.007271134477246,-0.0082294805194805,0.0503434670872784,-0.0101503896103896,0.0558857459654044,-0.0098722077922077,0.0452412269133687,-0.0136438961038961,0.0007993270798097,-0.127367532467528,0.985553485089885,-0.0434241558441558,0.190431606300063
2021-09-30,"AOXY",0.343366129984779,0.0595,0.3284,0.138962990218624,0.1428,3e-04,-5e-04,0.0102,1,0.0323,0.0441,0.0666,0.2466,0.3725,-0.1542,0.0992,2.6069,0.0481,20.7505,0.1428,0.011,0.0224,0.0148,0.0356,0.0031,0,0.5105,0.2479,0.338,1.9438,"Real Estate",-2.39130434782609,0.685970305760111,2.65725862791673,4.75950684076367,0.0001072103106297,0.0005421770137454,-0.0017414285714285,0.497312586514151,-0.0038141558441558,0.502591930975966,-0.0023493506493506,0.485686411697353,-0.004067922077922,0.244842027356621,0.0307993506493506,0.0006679557041148,-0.0001101298701298,0.731700210492501
2021-09-30,"APYX",9.85016129093786,0.6108,54.4,2.64102564102564,5.1197,-0.1156,-0.1229,-0.3633,0.6813,0.0831,0.1029,0.1163,-0.5633,-0.5654,-0.3567,-0.3356,8.7427,-0.3516,11.0221,4.3504,-0.2081,-0.2498,-0.2485,-0.2504,0.3446,0.3195,0.0037,0.0029,0.0037,5.0597,"Health Care",0.658842379475722,0.826181089811706,1.08348450676603,1.11629405898582,0.0466265052156153,0.0040198141825425,-0.0083361038961038,0.612057152807475,-0.0084185714285714,0.681988941349666,-0.0095514285714285,0.628732135373544,0.0010228571428571,0.817479817624411,10.8317461038961,0.0003093761705209,-0.0038397402597402,0.0466832074782672
2021-09-30,"ARKO",8.06886990608707,2.4672,340.7,0.739983866630815,1.7177,0.4085,0.2651,0.8248,0.1345,0.242,0.536,1.9947,0.5142,1.9137,0.0174,0.0269,3.6886,0.0198,0.1858,1.2095,0.0142,0.1252,0.0312,0.0979,15.1979,0.8655,2.7215,0.3302,0.7313,1.1381,"Retail",0.347419403158963,0.475925427509913,0.154957149693305,0.602072101594028,0.0373355749474976,-0.116593201787757,0.00505,0.270038862129309,0.03835,0.304587898956893,0.01055,0.281462080111593,-0.00495,0.596103550492135,-19.245,0.771331128512893,0.1512,0.20440525639269
2021-09-30,"ASC",3.45838970907273,0.2473,321.5637,0.924627372452387,1.5311,-0.2297,-0.3576,-0.1833,0.1822,0.1873,0.1937,0.4244,0.4663,1.0219,-0.2606,-0.1674,0.4435,-0.2585,0.7844,1.3032,-0.0658,-0.1503,-0.0679,-0.0358,1.3721,0.8178,1.1913,0.5258,0.5437,1.7901,"Energy",0.0053581615886732,1.88216824940222,1.37158665915262,10.1134083930399,0.0089587618374244,-0.424047658014468,-0.0014735064935064,0.128360482070792,-0.003412987012987,0.129692398149897,-0.0015224675324675,0.127399640948781,-0.0008763636363636,0.294369757027977,-11.7441672727273,8.78710775150625e-07,-0.0052662337662337,0.461067789063085
2021-09-30,"ASTC",20.5016129709059,0.0082,59.5,16.6842105263158,32.1053,-1.2975,-1.2848,-5.25,0.0526,0.12,0.1508,0.1758,-0.52,-0.5244,-10.6842,-10.7895,0.8727,-10.6842,136.6397,31.1053,-0.1629,-0.1793,-0.1699,-0.1666,0.1203,0.9474,0.0084,0.0081,0.0083,29.3333,"Electrical Equipment",0.560747306097679,0.867655737317942,1.37263621136983,1.35659669122758,0.0051863230737387,-5.10260023022872,-0.0172861038961039,0.531247652524378,-0.105572207792208,0.119380259083297,-0.0454903896103896,0.29729202724417,-0.0473868831168831,0.315835384319228,-0.0044390909090909,0.985674670320942,1.25189116883117,6.3062346721302e-09
2021-09-30,"ASYS",9.54725811558385,0.7661,85.6,2.17218543046358,5.3576,0.0898,0.0463,-0.6273,0.3784,0.045,0.0533,0.0566,-0.3083,-0.3259,0.0275,0.0534,1.91,0.0551,1.9188,3.894,0.0136,0.018,0.017,0.0419,1.6809,0.6216,0.0572,0.0419,0.0541,3.7348,"Semiconductors",0.559650755027553,0.224309229531783,0.303813098081266,0.640654972060827,0.0001739756892178,0.0013667442457927,-0.0050706493506493,0.067411523625152,-0.0074162337662337,0.0979685082182929,-0.0069585714285714,0.0904506355429626,0.0007245454545454,0.67925806537876,0.822252727272727,0.581915659969836,-0.0026063636363636,0.495836701396534
2021-09-30,"ATGE",26.8670968086489,0.3559,1265.181,0.566458757737594,1.1157,-0.4443,-1.168,2.2426,0.474,0.4246,0.5572,1.2647,0.434,0.9851,-0.2007,-0.0763,1.4868,-0.2372,1.7477,0.855,-3e-04,-8e-04,-4e-04,0.0388,5.8206,0.526,1.2697,0.4263,0.5594,1.5055,"Diversified Consumer Services",0.001553024700488,0.0021157882164246,0.0010932719690357,-0.112869020137755,1.75350064251041,0.178915466473375,-0.0022542857142857,0.108964312138023,-0.003352987012987,0.171705077599038,-0.0030222077922077,0.11310639356296,0.0014620779220779,0.143972236165034,0.196846753246749,0.992426473982743,-0.0040184415584415,0.779493617036918
2021-09-30,"AUDC",26.8150614461591,0.6839,203.5,0.896551724137931,1.6927,0.2955,0.2441,1.5847,0.6958,0.0384,0.0625,0.0683,-0.548,-0.5496,0.1303,0.1577,5.2334,0.1593,4.4099,1.4513,0.0988,0.1682,0.1676,0.2036,1.8738,0.3042,0.0028,0.0017,0.0028,2.3881,"Communications",-0.320931659458256,-0.53354833167018,-0.746347029845346,-1.10147083685545,0.0469232047830723,-0.037359882879565,0.0003840259740259,0.740962269900992,0.0011880519480519,0.553288664084209,0.0017497402597402,0.357161266590296,0.003201948051948,0.374995274360504,46.4413545454545,6.83251382812872e-10,0.0103750649350649,0.260897382840058
2021-09-30,"AUMN",11.3306451612903,0.3993,11.9,2.31578947368421,3.3421,0.0738,0.0631,-0.86,0.6075,1.0009,1.0844,0.9947,-0.6446,-0.6555,-2,-1.9159,9.0014,-1.972,20.7535,2.7632,-0.2999,-0.8908,-0.8649,-0.8116,1.3046,0.3925,0.0168,0,0.0165,2.68,"Metals & Mining",0.897878589147729,2.95644721530208,2.98033887363446,3.1786189681798,0.0124757437495685,0.146630162703379,-0.0036380519480519,0.618896093784097,0.0322824675324675,0.262013735281712,0.0260323376623376,0.30253310024729,0.0235892207792207,0.324666939180258,1.63687103896104,0.0893830303987149,-0.0022148051948051,0.841576526132351
2021-09-30,"AVDL",6.87419356069257,0.3734,171.2,3.30749985784955,11.703,-0.438,-0.3756,-1.2628,0.7948,0.4114,0.4414,41.6309,0.3481,0.2536,-3.0525,-3.6052,1.714,-3.7472,0.9247,11.5228,-0.2304,0.1425,0.0723,0.0792,0.1443,0.2052,0.739,0.538,0.5895,1.5993,"Pharmaceuticals",0.51384931700281,-0.471067480965861,-0.273648454418275,-0.312381580031304,0.020322272932123,0.82560160847802,-0.0107846616541353,0.251962323484334,0.0214387218045112,0.581888251390161,0.0099212781954887,0.637651421824764,0.0104188721804511,0.682743756944775,9.29281781954887,0.0580191377386666,-0.0376254135338345,0.112245828447409
2021-09-30,"AVO",13.3245161118046,1.077,503.7,0.75667022411953,2.6681,0.3329,0.2584,-0.383,0.1657,0.1944,0.2363,0.3171,0.1497,0.2009,0.0746,0.096,2.6676,0.0985,1.5597,1.825,0.0585,0.0965,0.0709,0.0989,3.4663,0.8343,0.3417,0.2095,0.2547,2.5855,"Food Products",-1.06876311902356,3.64422781363896,-0.734334541688245,-1.27816181774465,0.0224483545100198,0.0530959662426274,0.00798,0.229996563535013,0.0114699999999999,0.288411012925214,0.00959,0.236706613798328,0.00819,0.303167968516552,163.0263,0.211310252994622,0.0117999999999999,0.860390590970353
2021-09-30,"AVTR",35.6709677788519,0.6747,4105,1.08030303030303,2.7008,0.3966,0.2622,1.4241,0.3358,0.455,0.5726,1.352,0.4293,1.0136,0.0855,0.1293,6.0537,0.1017,3.4185,2.0614,0.0492,0.1687,0.0636,0.1001,3.0669,0.6642,1.361,0.458,0.5765,1.5072,"Life Sciences Tools & Services",-3.28172722485519,0.932600125110927,-1.95202326144899,-9.84930088037286,1.7743858219109,0.811623861659675,0.0054393939393939,8.60522622981135e-05,0.0219654545454545,7.59118200771551e-05,0.00706,8.09671007708604e-05,0.0025624242424242,0.138158568564127,1628.03460606061,0.0009559570386313,0.0252296969696969,0.173048820948303
