date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-12-31,DLR-PK,USD,0001297996,2023-02-27,2023-02-24 21:24:08,2022,FY,141773000.0,17120000,141773000.0,969292000.0,1712655000.0,0.0,1111065000.0,1351329000.0,9208497000,3092627000.0,12301124000.0,1991426000.0,41484998000.0,-16754944000.0,40373933000.0,0.0,41484998000.0,1868885000.0,117456000,0,369654000.0,354381000.0,4383051000.0,17950391000,21862854000,1192752000,9335000,17479802000.0,0.0,1471044000,21862853000.0,731690000.0,2887000.0,-4698313000.0,-595798000.0,22044209000.0,17583334000.0,19622145000.0,41484998000.0,2038811000.0,41484998000.0,1991426000.0,18067847000,17926074000.0,https://www.sec.gov/Archives/edgar/data/1297996/000155837023002087/0001558370-23-002087-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837023002087/dlr-20221231x10k.htm
2021-12-31,DLR-PK,USD,0001297996,2022-02-25,2022-02-25 17:19:45,2021,FY,142698000.0,0,142698000.0,671721000.0,1.0,0.0,814419000.0,1405441000.0,7937440000,2735486000.0,10672926000.0,1807689000.0,21309626000.0,359459000.0,35555141000.0,0.0,36369560000.0,1543623000.0,0,0,336578000.0,675307000.0,2280524000.0,14960397000,17845778000,666451000,-61594000,15565254000.0,0.0,1512187000,17845778000.0,731690000.0,2824000.0,-3631929000.0,-173880000.0,21075863000.0,18004568000.0,18523782000.0,36369560000.0,519214000.0,36369560000.0,1807689000.0,14960397000,14817699000.0,https://www.sec.gov/Archives/edgar/data/1297996/000155837022002195/0001558370-22-002195-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837022002195/dlr-20211231x10k.htm
2020-12-31,DLR-PK,USD,0001297996,2021-03-01,2021-03-01 17:05:19,2020,FY,108501000.0,0,108501000.0,603111000.0,0.0,0.0,711612000.0,1386959000.0,8330996000,3166198000.0,11497194000.0,1148158000.0,21111134000.0,221234000.0,35364679000.0,0.0,36076291000.0,1420162000.0,0,0,371659000.0,1052050000.0,2843871000.0,14241524000,-698308000,698308000,0,14744073000.0,0.0,1468712000,17587944000.0,950940000.0,2788000.0,-3997938000.0,135010000.0,20626897000.0,17717697000.0,18488347000.0,36076291000.0,770650000.0,36076291000.0,1148158000.0,14773429000,14664928000.0,https://www.sec.gov/Archives/edgar/data/1297996/000155837021002191/0001558370-21-002191-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837021002191/dlr-20201231x10k.htm
2024-12-31,STEL,USD,0001473844,2025-03-03,2025-03-03 16:09:26,2024,FY,419967000.0,1673016000,2092983000.0,37884000.0,0.0,0.0,2130867000.0,111856000.0,497318000,92546000.0,589864000.0,0.0,0.0,0.0,701720000.0,8073203000.0,10905790000.0,17052000.0,0,0,0.0,0.0,17052000.0,70105000,0,0,0,70105000.0,9210773000.0,0,9297930000.0,0.0,534000.0,492640000.0,-125364000.0,1240050000.0,1607860000.0,1607860000.0,10905790000.0,0.0,10905790000.0,1673016000.0,70105000,-419967000.0,https://www.sec.gov/Archives/edgar/data/1473844/000147384425000014/0001473844-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1473844/000147384425000014/stel-20241231.htm
2023-12-31,STEL,USD,0001473844,2024-02-29,2024-02-29 16:01:21,2023,FY,399237000.0,1395680000,1516684000.0,44244000.0,0.0,0.0,1560928000.0,118683000.0,497318000,116712000.0,614030000.0,0.0,0.0,0.0,732713000.0,8353498000.0,10647139000.0,11288000.0,0,0,0.0,0.0,11288000.0,159765000,0,0,0,159765000.0,8955068000.0,0,9126121000.0,0.0,533000.0,405945000.0,-118087000.0,1232627000.0,1521018000.0,1521018000.0,10647139000.0,0.0,10647139000.0,1395680000.0,159765000,-239472000.0,https://www.sec.gov/Archives/edgar/data/1473844/000147384424000010/0001473844-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1473844/000147384424000010/stel-20231231.htm
2022-12-31,STEL,USD,0001473844,2023-03-15,2023-03-15 16:06:24,2022,FY,371705000.0,1807586000,2179291000.0,44743000.0,-416448000.0,0.0,2224034000.0,126803000.0,497260000,143525000.0,640785000.0,1807586000.0,104095000.0,-104095000.0,2575174000.0,6101229000.0,10900437000.0,2098000.0,0,0,-2536000.0,-2098000.0,2098000.0,173292000,-34595000,34595000,-173292000,2098000.0,9513065000.0,0,9517261000.0,0.0,530000.0,303146000.0,-143261000.0,1222761000.0,1383176000.0,1383176000.0,10900437000.0,0.0,10900437000.0,3615172000.0,173292000,-198413000.0,https://www.sec.gov/Archives/edgar/data/1473844/000147384423000013/0001473844-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1473844/000147384423000013/stel-20221231.htm
2021-12-31,STEL,USD,0001473844,2021-12-31,2021-12-31 00:00:00,2021,FY,950146000.0,358518000,1308664000.0,33392000.0,-824293000.0,790901000.0,1308664000.0,69608000.0,80950000,3658000.0,84608000.0,425046000.0,13369000.0,-13369000.0,579262000.0,2598075000.0,4486001000.0,1753000.0,0,0,-1198000.0,-1753000.0,1753000.0,78284000,53322000,10820000,-78284000,64142000.0,-1753000.0,14142000,64142000.0,0.0,253000.0,237165000.0,3057000.0,276502000.0,562125000.0,562125000.0,4486001000.0,0.0,4486001000.0,783564000.0,64142000,-886004000.0,,
2020-12-31,STEL,USD,0001473844,2020-12-31,2020-12-31 00:00:00,2020,FY,538007000.0,200686000,538007000.0,0.0,0.0,0.0,538007000.0,74437000.0,80950000,4171000.0,85121000.0,237281000.0,17723000.0,-17723000.0,396839000.0,3014371000.0,3949217000.0,0.0,1817000,0,0.0,-1817000.0,3102523000.0,64630000,59424000,7023000,-64630000,66447000.0,-3102523000.0,14630000,66447000.0,0.0,255000.0,214456000.0,6775000.0,324965000.0,546451000.0,546451000.0,3949217000.0,0.0,3949217000.0,237281000.0,66447000,-471560000.0,,
2023-12-31,BCAX,USD,0002023658,2023-12-31,2023-12-31 00:00:00,2023,FY,230440000.0,0,230440000.0,0.0,0.0,633000.0,231073000.0,815000.0,0,0.0,0.0,0.0,0.0,2094000.0,2909000.0,0.0,233982000.0,3186000.0,285000,0,0.0,11614000.0,15085000.0,372000,0,0,367294000,367666000.0,0.0,657000,382751000.0,0.0,2000.0,-153021000.0,0.0,4250000.0,-148769000.0,-148769000.0,233982000.0,0.0,233982000.0,0.0,657000,-229783000.0,,
2022-12-31,BCAX,USD,0002023658,2022-12-31,2022-12-31 00:00:00,2022,FY,4158000.0,0,4158000.0,0.0,0.0,826000.0,4984000.0,636000.0,0,0.0,0.0,0.0,0.0,1083000.0,1719000.0,0.0,6703000.0,5137000.0,0,0,0.0,18759000.0,23896000.0,0,0,0,81610000,81610000.0,0.0,0,105506000.0,0.0,2000.0,-101036000.0,0.0,2231000.0,-98803000.0,-98803000.0,6703000.0,0.0,6703000.0,0.0,0,-4158000.0,,
2024-06-30,NEOV,USD,0001748137,2024-09-27,2024-09-27 16:30:18,2024,FY,986427.0,0,986427.0,1805980.0,1787308.0,76815.0,4656530.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4656530.0,5316.0,0,0,0.0,55784.0,61100.0,0,0,0,0,0.0,0.0,0,61100.0,0.0,33236.0,-20742538.0,0.0,25304732.0,4595430.0,4595430.0,4656530.0,0.0,4656530.0,0.0,0,-986427.0,https://www.sec.gov/Archives/edgar/data/1748137/000168316824006718/0001683168-24-006718-index.htm,https://www.sec.gov/Archives/edgar/data/1748137/000168316824006718/neovolta_10k-063024.htm
2023-06-30,NEOV,USD,0001748137,2023-09-22,2023-09-22 17:00:25,2023,FY,2002789.0,0,2002789.0,1826385.0,2580571.0,96119.0,6505864.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6505864.0,0.0,0,0,0.0,39491.0,39491.0,0,0,0,0,0.0,0.0,0,39491.0,0.0,33155.0,-18439228.0,0.0,24872446.0,6466373.0,6466373.0,6505864.0,0.0,6505864.0,0.0,0,-2002789.0,https://www.sec.gov/Archives/edgar/data/1748137/000168316823006642/0001683168-23-006642-index.htm,https://www.sec.gov/Archives/edgar/data/1748137/000168316823006642/neovolta_i10k-063023.htm
2022-06-30,NEOV,USD,0001748137,2022-09-27,2022-09-27 08:00:37,2022,FY,330385.0,0,330385.0,1317738.0,2238208.0,478002.0,4125332.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4125332.0,205600.0,1068000,0,0.0,180792.0,1454392.0,53716,0,0,0,53716.0,0.0,0,1508108.0,0.0,21978.0,-15799395.0,0.0,18394641.0,2617224.0,2617224.0,4125332.0,0.0,4125332.0,0.0,1121716,791331.0,https://www.sec.gov/Archives/edgar/data/1748137/000168316822006609/0001683168-22-006609-index.htm,https://www.sec.gov/Archives/edgar/data/1748137/000168316822006609/neovolta_i10k-063022.htm
2021-06-30,NEOV,USD,0001748137,2021-06-30,2021-06-30 00:00:00,2021,FY,425681.0,0,425681.0,1128444.0,1662140.0,45926.0,3262191.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262191.0,53510.0,0,0,0.0,40739.0,94249.0,19308,0,0,0,19308.0,0.0,0,113557.0,1.862645149230957e-09,19641.0,-10040370.0,-1.7763568394002505e-09,13169362.999999998,3148634.0,3148634.0,3262191.0,0.0,3262191.0,0.0,19308,-406373.0,,
2020-06-30,NEOV,USD,0001748137,2020-06-30,2020-06-29 20:00:00,2020,FY,1309304.0,0,1309304.0,391112.0,1553296.0,150015.0,3403727.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3403727.0,3660.0,0,0,0.0,21624.0,25284.0,44037,0,0,0,44036.0,1.0,0,69321.0,0.0,14422.0,-2394498.0,-4.440892098500626e-10,5714482.0,3334406.0,3334406.0,3403727.0,0.0,3403727.0,0.0,44037,-1265267.0,,
