symbol,date,marketCap
CZWI,2025-03-10,144811600.0
CZWI,2025-03-07,151236340.0
CZWI,2025-03-06,150318520.0
CZWI,2025-03-05,151746240.0
CZWI,2025-03-04,152766040.0
CZWI,2025-03-03,155519500.0
CZWI,2025-02-28,156437320.0
CZWI,2025-02-27,154703660.0
CZWI,2025-02-26,154295740.0
CZWI,2025-02-25,153581880.0
CZWI,2025-02-24,153785840.0
CZWI,2025-02-21,156233360.0
CZWI,2025-02-20,157559100.0
CZWI,2025-02-19,159088800.0
CZWI,2025-02-18,159802660.0
CZWI,2025-02-14,159598700.0
CZWI,2025-02-13,158986820.0
CZWI,2025-02-12,158986820.0
CZWI,2025-02-11,159496720.0
CZWI,2025-02-10,158272960.0
CZWI,2025-02-07,158069000.0
CZWI,2025-02-06,162148200.0
CZWI,2025-02-05,161536320.0
CZWI,2025-02-04,161944240.0
CZWI,2025-02-03,160618500.0
CZWI,2025-01-31,161536320.0
CZWI,2025-01-30,161128400.0
CZWI,2025-01-29,160108600.0
CZWI,2025-01-28,160312560.0
CZWI,2025-01-27,162250180.0
CZWI,2025-01-24,163168000.0
CZWI,2025-01-23,164085820.0
CZWI,2025-01-22,162658100.0
CZWI,2025-01-21,164085820.0
CZWI,2025-01-17,163779880.0
CZWI,2025-01-16,161944240.0
CZWI,2025-01-15,162556120.0
CZWI,2025-01-14,158069000.0
CZWI,2025-01-13,156743260.0
CZWI,2025-01-10,157559100.0
CZWI,2025-01-08,162148200.0
CZWI,2025-01-07,162556120.0
CZWI,2025-01-06,164289780.0
CZWI,2025-01-03,163983839.0
CZWI,2025-01-02,166125420.0
CZWI,2024-12-31,166125420.0
CZWI,2024-12-30,167043240.0
CZWI,2024-12-27,168165019.0
CZWI,2024-12-26,171122440.0
CZWI,2024-12-24,166941260.0
CZWI,2024-12-23,166941260.0
CZWI,2024-12-20,166941260.0
CZWI,2024-12-19,167145220.0
CZWI,2024-12-18,166941260.0
CZWI,2024-12-17,172142240.0
CZWI,2024-12-16,172754120.0
CZWI,2024-12-13,170408580.0
CZWI,2024-12-12,171734320.0
CZWI,2024-12-11,171734320.0
CZWI,2024-12-10,172040260.0
CZWI,2024-12-09,172346200.0
CZWI,2024-12-06,171836300.0
CZWI,2024-12-05,172958080.0
CZWI,2024-12-04,172142240.0
CZWI,2024-12-03,171326400.0
CZWI,2024-12-02,169490760.0
CZWI,2024-11-29,165309580.0
CZWI,2024-11-27,166023440.0
CZWI,2024-11-26,166941260.0
CZWI,2024-11-25,167247200.0
CZWI,2024-11-22,164187800.0
CZWI,2024-11-21,160397875.0
CZWI,2024-11-20,153723187.0
CZWI,2024-11-19,155058125.0
CZWI,2024-11-18,152285562.0
CZWI,2024-11-15,156187687.0
CZWI,2024-11-14,154031250.0
CZWI,2024-11-13,151977500.0
CZWI,2024-11-12,149410312.0
CZWI,2024-11-11,148896875.0
CZWI,2024-11-08,147870000.0
CZWI,2024-11-07,148280750.0
CZWI,2024-11-06,147870000.0
CZWI,2024-11-05,143762500.0
CZWI,2024-11-04,144275937.0
CZWI,2024-11-01,144070562.0
CZWI,2024-10-31,145097437.0
CZWI,2024-10-30,144275937.0
CZWI,2024-10-29,144892062.0
CZWI,2024-10-28,145610875.0
CZWI,2024-10-25,146424400.0
CZWI,2024-10-24,146320700.0
CZWI,2024-10-23,145491100.0
CZWI,2024-10-22,146631800.0
CZWI,2024-10-21,143624500.0
CZWI,2024-10-18,147254000.0
CZWI,2024-10-17,147046600.0
CZWI,2024-10-16,147046600.0
CZWI,2024-10-15,144972600.0
CZWI,2024-10-14,145802200.0
CZWI,2024-10-11,146735500.0
CZWI,2024-10-10,147046600.0
CZWI,2024-10-09,146217000.0
CZWI,2024-10-08,145180000.0
CZWI,2024-10-07,143106000.0
CZWI,2024-10-04,145594800.0
CZWI,2024-10-03,145905900.0
CZWI,2024-10-02,145283700.0
CZWI,2024-10-01,145905900.0
CZWI,2024-09-30,146942900.0
CZWI,2024-09-27,146217000.0
CZWI,2024-09-26,146217000.0
CZWI,2024-09-25,146113300.0
CZWI,2024-09-24,145387400.0
CZWI,2024-09-23,145283700.0
CZWI,2024-09-20,144246700.0
CZWI,2024-09-19,143313400.0
CZWI,2024-09-18,142483800.0
CZWI,2024-09-17,139787600.0
CZWI,2024-09-16,140617200.0
CZWI,2024-09-13,139995000.0
CZWI,2024-09-12,138750600.0
CZWI,2024-09-11,139476500.0
CZWI,2024-09-10,137402500.0
CZWI,2024-09-09,136884000.0
CZWI,2024-09-06,138335800.0
CZWI,2024-09-05,137921000.0
CZWI,2024-09-04,139061700.0
CZWI,2024-09-03,142483800.0
CZWI,2024-08-30,138958000.0
CZWI,2024-08-29,138335800.0
CZWI,2024-08-28,138439500.0
CZWI,2024-08-27,138854300.0
CZWI,2024-08-26,138232100.0
CZWI,2024-08-23,139683900.0
CZWI,2024-08-22,137298800.0
CZWI,2024-08-21,134810000.0
CZWI,2024-08-20,134291500.0
CZWI,2024-08-19,136676600.0
CZWI,2024-08-16,133773000.0
CZWI,2024-08-15,132632299.0
CZWI,2024-08-14,130454600.0
CZWI,2024-08-13,125062200.0
CZWI,2024-08-12,126617700.0
CZWI,2024-08-09,129832400.0
CZWI,2024-08-08,132217500.0
CZWI,2024-08-07,126928800.0
CZWI,2024-08-06,127032500.0
CZWI,2024-08-05,128520000.0
CZWI,2024-08-02,130724999.0
CZWI,2024-08-01,134715000.0
CZWI,2024-07-31,135870000.0
CZWI,2024-07-30,135660000.0
CZWI,2024-07-29,135450000.0
CZWI,2024-07-26,136646510.0
CZWI,2024-07-25,136437730.0
CZWI,2024-07-24,129861160.0
CZWI,2024-07-23,129861160.0
CZWI,2024-07-22,128712870.0
CZWI,2024-07-19,128608480.0
CZWI,2024-07-18,127251410.0
CZWI,2024-07-17,130383110.0
CZWI,2024-07-16,126729460.0
CZWI,2024-07-15,124224100.0
CZWI,2024-07-12,122136300.0
CZWI,2024-07-11,118482650.0
CZWI,2024-07-10,116394850.0
CZWI,2024-07-09,115664120.0
CZWI,2024-07-08,116394850.0
CZWI,2024-07-05,117856309.0
CZWI,2024-07-03,117960700.0
CZWI,2024-07-02,117438750.0
CZWI,2024-07-01,119004600.0
CZWI,2024-06-28,120779230.0
CZWI,2024-06-27,120048500.0
CZWI,2024-06-26,120570450.0
CZWI,2024-06-25,119004600.0
CZWI,2024-06-24,118378260.0
CZWI,2024-06-21,119526550.0
CZWI,2024-06-20,118691429.0
CZWI,2024-06-18,118169480.0
CZWI,2024-06-17,117960700.0
CZWI,2024-06-14,122136300.0
CZWI,2024-06-13,116916800.0
CZWI,2024-06-12,114829000.0
CZWI,2024-06-11,113889490.0
CZWI,2024-06-10,116916800.0
CZWI,2024-06-07,117543140.0
CZWI,2024-06-06,116603630.0
CZWI,2024-06-05,115559730.0
CZWI,2024-06-04,113889490.0
CZWI,2024-06-03,117438750.0
CZWI,2024-05-31,121509960.0
CZWI,2024-05-30,118169480.0
CZWI,2024-05-29,120883620.0
CZWI,2024-05-28,118482650.0
CZWI,2024-05-24,117960700.0
CZWI,2024-05-23,118900210.0
CZWI,2024-05-22,116394850.0
CZWI,2024-05-21,119108990.0
CZWI,2024-05-20,119108990.0
CZWI,2024-05-17,119108990.0
CZWI,2024-05-16,120048500.0
CZWI,2024-05-15,122240690.0
CZWI,2024-05-14,115559730.0
CZWI,2024-05-13,115559730.0
CZWI,2024-05-10,117960700.0
CZWI,2024-05-09,121092400.0
CZWI,2024-05-08,120152890.0
CZWI,2024-05-07,117647530.0
CZWI,2024-05-06,114778458.0
CZWI,2024-05-03,114044714.0
CZWI,2024-05-02,115302561.0
CZWI,2024-05-01,113310971.0
CZWI,2024-04-30,115302561.0
CZWI,2024-04-29,108908509.0
CZWI,2024-04-26,108594048.0
CZWI,2024-04-25,109851894.0
CZWI,2024-04-24,112682048.0
CZWI,2024-04-23,113310971.0
CZWI,2024-04-22,110375997.0
CZWI,2024-04-19,114988099.0
CZWI,2024-04-18,111948304.0
CZWI,2024-04-17,113835073.0
CZWI,2024-04-16,113101330.0
CZWI,2024-04-15,115197740.0
CZWI,2024-04-12,113730253.0
CZWI,2024-04-11,116036304.0
CZWI,2024-04-10,116141125.0
CZWI,2024-04-09,121591791.0
CZWI,2024-04-08,123059278.0
CZWI,2024-04-05,122954458.0
CZWI,2024-04-04,123688201.0
CZWI,2024-04-03,122849637.0
CZWI,2024-04-02,125260509.0
CZWI,2024-04-01,127776201.0
CZWI,2024-03-28,127356919.0
CZWI,2024-03-27,127356919.0
CZWI,2024-03-26,125260509.0
CZWI,2024-03-25,127881022.0
CZWI,2024-03-22,127776201.0
CZWI,2024-03-21,128929227.0
CZWI,2024-03-20,127881022.0
CZWI,2024-03-19,127881022.0
CZWI,2024-03-18,127881022.0
CZWI,2024-03-15,128405124.0
CZWI,2024-03-14,129243688.0
CZWI,2024-03-13,132178663.0
CZWI,2024-03-12,127881022.0
CZWI,2024-03-11,130711175.0
CZWI,2024-03-08,128090663.0
CZWI,2024-03-07,126413535.0
CZWI,2024-03-06,125574970.0
CZWI,2024-03-05,125155688.0
CZWI,2024-03-04,124317124.0
CZWI,2024-03-01,121067689.0
CZWI,2024-02-29,122220714.0
CZWI,2024-02-28,121801432.0
CZWI,2024-02-27,125365329.0
CZWI,2024-02-26,126203894.0
CZWI,2024-02-23,126518355.0
CZWI,2024-02-22,125260509.0
CZWI,2024-02-21,125994253.0
CZWI,2024-02-20,125889432.0
CZWI,2024-02-16,122639996.0
CZWI,2024-02-15,121906253.0
CZWI,2024-02-14,118656817.0
CZWI,2024-02-13,117189330.0
CZWI,2024-02-12,120858048.0
CZWI,2024-02-09,121801432.0
CZWI,2024-02-08,121382150.0
CZWI,2024-02-07,125574970.0
CZWI,2024-02-06,128719586.0
CZWI,2024-02-05,129453329.0
CZWI,2024-02-02,129977432.0
CZWI,2024-02-01,128824406.0
CZWI,2024-01-31,127252099.0
CZWI,2024-01-30,130396714.0
CZWI,2024-01-29,129034047.0
CZWI,2024-01-26,127566560.0
CZWI,2024-01-25,124526765.0
CZWI,2024-01-24,124631586.0
CZWI,2024-01-23,121906253.0
CZWI,2024-01-22,123059278.0
CZWI,2024-01-19,120438765.0
CZWI,2024-01-18,121277330.0
CZWI,2024-01-17,121067689.0
CZWI,2024-01-16,121067689.0
CZWI,2024-01-12,119705022.0
CZWI,2024-01-11,120019483.0
CZWI,2024-01-10,120858048.0
CZWI,2024-01-09,120543586.0
CZWI,2024-01-08,120753227.0
CZWI,2024-01-05,120753227.0
CZWI,2024-01-04,120753227.0
CZWI,2024-01-03,120962868.0
CZWI,2024-01-02,121067689.0
CZWI,2023-12-29,122259320.0
CZWI,2023-12-28,122050508.0
CZWI,2023-12-27,120588826.0
CZWI,2023-12-26,120066796.0
CZWI,2023-12-22,119022737.0
CZWI,2023-12-21,120066796.0
CZWI,2023-12-20,120066796.0
CZWI,2023-12-19,119440361.0
CZWI,2023-12-18,118813925.0
CZWI,2023-12-15,117769866.0
CZWI,2023-12-14,115994966.0
CZWI,2023-12-13,114115659.0
CZWI,2023-12-12,112758382.0
CZWI,2023-12-11,115786154.0
CZWI,2023-12-08,113802441.0
CZWI,2023-12-07,112131947.0
CZWI,2023-12-06,110983482.0
CZWI,2023-12-05,110043829.0
CZWI,2023-12-04,107851305.0
CZWI,2023-12-01,108895364.0
CZWI,2023-11-30,110879076.0
CZWI,2023-11-29,112236353.0
CZWI,2023-11-28,112236353.0
CZWI,2023-11-27,111087888.0
CZWI,2023-11-24,112027541.0
CZWI,2023-11-22,113384818.0
CZWI,2023-11-21,112758382.0
CZWI,2023-11-20,114846501.0
CZWI,2023-11-17,114846501.0
CZWI,2023-11-16,115681748.0
CZWI,2023-11-15,115994966.0
CZWI,2023-11-14,117039025.0
CZWI,2023-11-13,111087888.0
CZWI,2023-11-10,108477740.0
CZWI,2023-11-09,100960514.0
CZWI,2023-11-08,98872396.0
CZWI,2023-11-07,94800566.0
CZWI,2023-11-06,94382942.0
CZWI,2023-11-03,97201902.0
CZWI,2023-11-02,95740219.0
CZWI,2023-11-01,95740219.0
CZWI,2023-10-31,92086012.0
CZWI,2023-10-30,92086012.0
CZWI,2023-10-27,92608042.0
CZWI,2023-10-26,92503636.0
CZWI,2023-10-25,92921259.0
CZWI,2023-10-24,88431805.0
CZWI,2023-10-23,94382942.0
CZWI,2023-10-20,95531407.0
CZWI,2023-10-19,94904972.0
CZWI,2023-10-18,94174130.0
CZWI,2023-10-17,94174130.0
CZWI,2023-10-16,95218189.0
CZWI,2023-10-13,95635813.0
CZWI,2023-10-12,96366654.0
CZWI,2023-10-11,95427001.0
CZWI,2023-10-10,95844625.0
CZWI,2023-10-09,97097496.0
CZWI,2023-10-06,96888684.0
CZWI,2023-10-05,96888684.0
CZWI,2023-10-04,95635813.0
