,buy,hold,period,sell,strongBuy,strongSell,symbol
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
