date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2023-12-31,VCIG,MYR,0001930510,2024-04-30,2024-04-30 08:38:37,2023,FY,90798144.0,34507466.0,56290678.0,0.6199540599,0.0,32244494.0,1566434.0,15653443.0,0,15653443.0,50160909.0,1904328.0,177941.0,742945.0,33430975.0,0.3681900701,40637235.0,0.4475557892,-8041793.0,32595442.0,0.3589879767,-619698.0,35666176.0,0.3928073243,47.49,47.49,751079.0,751079.0,https://www.sec.gov/Archives/edgar/data/1930510/000121390024037483/0001213900-24-037483-index.htm,https://www.sec.gov/Archives/edgar/data/1930510/000121390024037483/ea0203418-20f_vciglobal.htm
2022-12-31,VCIG,MYR,0001930510,2023-05-15,2023-05-15 14:49:27,2022,FY,35569882.0,7655889.0,27913993.0,0.7847648468,0.0,11176480.0,1110233.0,12286713.0,153693,15020601.0,22676490.0,49.0,51104.0,467616.0,14242715.0,0.3791177041,13017556.0,0.3659713012,-2457741.0,13723995.0,0.3858318956,-6590981.0,21585041.0,0.6068347654,0.63,0.63,34412300.0,34412300.0,https://www.sec.gov/Archives/edgar/data/1930510/000157587223000741/0001575872-23-000741-index.htm,https://www.sec.gov/Archives/edgar/data/1930510/000157587223000741/vcig-20221231.htm
2021-12-31,VCIG,MYR,0001930510,2021-12-31,2021-12-31 00:00:00,2021,FY,47475042.0,10300051.0,37174991.0,0.783,0.0,6262180.0,339875.0,6602055.0,127784,7996314.0,18296365.0,1571.0,106473.0,55232.0,27510373.0,0.6177549248,29272709.0,0.6165915346,-2417276.0,27058298.0,0.5699478475,7120480.0,20339137.0,0.428417462,0.55,0.55,36808428.0,36808428.0,,
2020-12-31,VCIG,MYR,0001930510,2020-12-31,2020-12-31 00:00:00,2020,FY,3648406.0,416179.0,3232227.0,0.8859285398,0.0,4723.0,0.0,4723.0,402250,20264.0,436443.0,0.0,0.0,-3203185.0,0.0,0.9882219797,3605435.0,0.9882219797,-3463.0,3601972.0,0.987272798,872882.0,2729090.0,0.7480225611,0.0741,0.0735,36808428.0,37137244.0,,
2024-12-31,JOE,USD,0000745308,2025-02-26,2025-02-26 16:18:01,2024,FY,402737000.0,235516000.0,167221000.0,0.4152114159,0.0,0.0,0.0,0.0,71635000,71635000.0,307151000.0,13504000.0,33584000.0,46385000.0,178317000.0,0.4427628949,95586000.0,0.2373409942,2762000.0,98348000.0,0.2441990679,25952000.0,74189000.0,0.1842120292,1.27,1.27,58326286.0,58346726.0,https://www.sec.gov/Archives/edgar/data/745308/000155837025001603/0001558370-25-001603-index.htm,https://www.sec.gov/Archives/edgar/data/745308/000155837025001603/joe-20241231x10k.htm
2023-12-31,JOE,USD,0000745308,2024-02-21,2024-02-21 16:18:41,2023,FY,389285000.0,235979000.0,153306000.0,0.394,0.0,23797000.0,0.0,23797000.0,38776000,62573000.0,298552000.0,13282000.0,30618000.0,38776000.0,129509000.0,0.3326842802,90733000.0,0.233076024,9328000.0,100061000.0,0.2570379028,26009000.0,77712000.0,0.1996275223,1.33,1.33,58312878.0,58324254.0,https://www.sec.gov/Archives/edgar/data/745308/000155837024001435/0001558370-24-001435-index.htm,https://www.sec.gov/Archives/edgar/data/745308/000155837024001435/joe-20231231x10k.htm
2022-12-31,JOE,USD,0000745308,2023-02-22,2023-02-22 16:22:05,2022,FY,252300000.0,146600000.0,105700000.0,0.4189456996,0.3749866241811026,13300000.0,1100000.0,14400000.0,29900000,44300000.0,190900000.0,9888000.0,18400000.0,190880000.0,84355000.0,0.4994054697,103112000.0,0.4086880698,33150000.0,94600000.0,0.3749504558,24400000.0,70927000.0,0.2811216805,1.21,1.21,58720050.0,58721338.0,https://www.sec.gov/Archives/edgar/data/745308/000155837023001760/0001558370-23-001760-index.htm,https://www.sec.gov/Archives/edgar/data/745308/000155837023001760/joe-20221231x10k.htm
2021-12-31,JOE,USD,0000745308,2022-02-23,2022-02-23 16:37:30,2021,FY,267000000.0,132000000.0,135000000.0,0.506,0.3697845660609148,13600000.0,1600000.0,15200000.0,25300000,40500000.0,172500000.0,9109000.0,15900000.0,174411000.0,112659000.0,0.4737827715,94500000.0,0.3539325843,4274000.0,99600000.0,0.3730337079,25000000.0,74553000.0,0.2792247191,1.27,1.27,58882549.0,58882549.0,https://www.sec.gov/Archives/edgar/data/745308/000155837022001751/0001558370-22-001751-index.htm,https://www.sec.gov/Archives/edgar/data/745308/000155837022001751/joe-20211231x10k.htm
2020-12-31,JOE,USD,0000745308,2021-02-24,2021-02-24 17:15:39,2020,FY,160500000.0,77700000.0,82800000.0,0.5158878505,0.3684095792719006,22906000.0,0.0,22906000.0,35700000,35700000.0,113400000.0,9645000.0,13600000.0,113470000.0,57873000.0,0.5059190031,68412000.0,0.4262429907,12065000.0,59800000.0,0.3725856698,13700000.0,45203000.0,0.2816386293,0.77,0.77,59009865.0,59009865.0,https://www.sec.gov/Archives/edgar/data/745308/000155837021001636/0001558370-21-001636-index.htm,https://www.sec.gov/Archives/edgar/data/745308/000155837021001636/joe-20201231x10k.htm
2024-12-31,TNYA,USD,0001858848,2025-03-10,2025-03-10 16:19:50,2024,FY,0.0,0.0,0.0,0.0,86742000.0,29206000.0,0.0,29206000.0,0,115948000.0,0.0,4737000.0,0.0,0.0,-115948000.0,0.0,-115948000.0,0.0,4819000.0,-111129000.0,0.0,0.0,-111129000.0,0.0,-1.31,-1.31,84822468.0,84822468.0,https://www.sec.gov/Archives/edgar/data/1858848/000095017025036329/0000950170-25-036329-index.htm,https://www.sec.gov/Archives/edgar/data/1858848/000095017025036329/tnya-20241231.htm
