,date,exchange,name,numberOfShares,price,status,symbol,totalSharesValue
0,2024-12-23,,"Aimei Health Technology II Co., Ltd.",,,filed,AHJKU,69000000.0
0,2024-12-23,,"SFIDA X, Inc.",,,filed,SFDX,11500000.0
0,2024-12-20,NASDAQ Global,Range Capital Acquisition Corp.,10000000,10.00,priced,RANGU,100000000.0
0,2024-12-20,NASDAQ Capital,Youxin Technology Ltd,2300000,4.50,priced,YAAS,10350000.0
0,2024-12-20,,Copley Acquisition Corp,,,filed,,172500000.0
0,2024-12-19,NASDAQ Capital,"Leishen Energy Holding Co., Ltd.",1375000,4.00,priced,LSE,5500000.0
0,2024-12-19,,PEAR WORKSHOP LTD.,,,filed,CLGF,5000000.0
0,2024-12-18,,Clean Vision Corp,,,withdrawn,,
0,2024-12-18,NASDAQ Capital,"YSX Tech Co., Ltd",1250000,4.00,priced,YSXT,5000000.0
0,2024-12-18,NASDAQ Capital,New Century Logistics (BVI) Ltd,1500000,4.00,priced,NCEW,6000000.0
0,2024-12-18,,JAJI Global Inc,,,filed,JAJI,11040000.0
0,2024-12-16,,"Metros Development Co., Ltd.",,,withdrawn,,
0,2024-12-16,,JuHe KC Holdings Ltd,,,filed,JHKC,5000000.0
0,2024-12-13,NASDAQ Global,Anteris Technologies Global Corp.,14800000,6.00,priced,AVR,88800000.0
0,2024-12-13,NASDAQ Global,Roman DBDR Acquisition Corp. II,20000000,10.00,priced,DRDBU,200000000.0
0,2024-12-13,NASDAQ Global,Mountain Lake Acquisition Corp.,21000000,10.00,priced,MLACU,210000000.0
0,2024-12-13,NASDAQ Capital,NetClass Technology Inc,1800000,5.00,priced,NTCL,9000000.0
0,2024-12-13,,"Gansu Yunzhao Ruyi Technology Development Co., Ltd.",,,filed,YZRY,60000000.0
0,2024-12-12,NASDAQ Global Select,"ServiceTitan, Inc.",8800000,71.00,priced,TTAN,624800000.0
0,2024-12-10,NYSE,Jackson Acquisition Co II,20000000,10.00,priced,JACSU,200000000.0
0,2024-12-10,,TMD Energy Ltd,,,filed,TMDE,13368750.0
0,2024-12-10,,Grande Group Ltd/HK,,,filed,GRAN,12937500.0
0,2024-12-10,,"LEIFRAS Co., Ltd.",,,filed,LFS,9200000.0
0,2024-12-09,,"SS Innovations International, Inc.",,,withdrawn,,
0,2024-12-09,,ChampionsGate Acquisition Corp,,,filed,CHPGU,230000000.0
0,2024-12-06,,Cuprina Holdings (Cayman) LTD,,,withdrawn,,
0,2024-12-06,,Luda Technology Group Ltd,,,withdrawn,,
0,2024-12-06,NASDAQ Capital,Jinxin Technology Holding Co,1250000,4.00,priced,NAMI,5000000.0
0,2024-12-06,,Luda Technology Group Ltd,,,filed,LUD,11500000.0
0,2024-12-06,,Cuprina Holdings (Cayman) LTD,,,filed,CUPR,19406250.0
0,2024-12-06,,Great Restaurant Development Holdings Ltd,,,filed,HPOT,12600000.0
0,2024-12-05,NASDAQ Global,Shepherd Ave Capital Acquisition Corp,7500000,10.00,priced,SPHAU,75000000.0
0,2024-12-05,NASDAQ Global,"zSpace, Inc.",1875000,5.00,priced,ZSPC,9375000.0
0,2024-12-05,NASDAQ Capital,Linkers Industries Ltd,1900000,4.00,priced,LNKS,7600000.0
0,2024-12-05,,"Punk Code International Group Co., Ltd.",,,filed,PKCD,15000000.0
0,2024-12-04,NASDAQ Global,Tavia Acquisition Corp.,10000000,10.00,priced,TAVIU,100000000.0
0,2024-12-03,NASDAQ Capital,"JUPITER NEUROSCIENCES, INC.",2750000,4.00,priced,JUNS,11000000.0
0,2024-12-03,,Mountain&Sea Health Inc.,,,filed,SYH,8625000.0
0,2024-12-02,,GATES GROUP Inc.,,,filed,GTSG,7475000.0
0,2024-11-29,,"YIZHIHUI TECHNOLOGY ELDERLY CARE GROUP CO., LTD",,,filed,DYZH,1000000.0
0,2024-11-27,NASDAQ Global Select,Pony AI Inc.,20000000,13.00,priced,PONY,260000000.0
0,2024-11-27,NYSE MKT,BrilliA Inc,2500000,4.00,priced,BRIA,10000000.0
0,2024-11-27,NYSE MKT,Brazil Potash Corp.,2000000,15.00,priced,GRO,30000000.0
0,2024-11-27,NYSE MKT,Venu Holding Corp,1200000,10.00,priced,VENU,12000000.0
0,2024-11-26,NASDAQ Global,FACT II Acquisition Corp.,17500000,10.00,priced,FACTU,175000000.0
0,2024-11-26,NASDAQ Capital,Wing Yip Food Holdings Group Ltd,2050000,4.00,priced,WYHG,8200000.0
0,2024-11-26,NASDAQ Capital,Creative Global Technology Holdings Ltd,1250000,4.00,priced,CGTL,5000000.0
0,2024-11-25,,Inflection Point Acquisition Corp. III,,,filed,IPCXU,253000000.0
0,2024-11-25,,Top Win International Ltd,,,filed,TOPW,18381600.0
0,2024-11-22,NASDAQ Capital,"Heritage Distilling Holding Company, Inc.",1687500,4.00,priced,CASK,6750000.0
0,2024-11-22,NASDAQ Capital,Ming Shing Group Holdings Ltd,1500000,5.50,priced,MSW,8250000.0
0,2024-11-22,,Papa Medical Inc.,,,filed,PAPA,27600000.0
0,2024-11-22,,Waton Financial Ltd,,,filed,WTF,40000000.0
0,2024-11-21,,FG Merger III Corp.,,,withdrawn,,
0,2024-11-21,,REGENTIS BIOMATERIALS LTD.,,,withdrawn,,
0,2024-11-21,NASDAQ Global,Dynamix Corp,15000000,10.00,priced,DYNXU,150000000.0
0,2024-11-21,NASDAQ Global,CO2 Energy Transition Corp.,6000000,10.00,priced,NOEMU,60000000.0
0,2024-11-21,NASDAQ Capital,Fitness Champs Holdings Ltd,2000000,4.00-5.00,expected,FCHL,10000000.0
0,2024-11-19,,NUSATRIP Inc,,,filed,NUTR,15525000.0
0,2024-11-18,NASDAQ Global,Damon Inc.,1015383,,priced,DMN,191597.64
0,2024-11-18,,FG Holdings Ltd,,,filed,FGO,11500000.0
0,2024-11-15,NASDAQ Global,Horizon Space Acquisition II Corp.,6000000,10.00,priced,HSPTU,60000000.0
0,2024-11-15,,Delixy Holdings Ltd,,,filed,DLXY,10000000.0
0,2024-11-15,,STAK Inc.,,,filed,STAK,5750000.0
0,2024-11-14,,MaxsMaking Inc.,,,filed,MAMK,11500000.0
0,2024-11-13,NASDAQ Capital,Invizyne Technologies Inc,1875000,8.00,priced,IZTC,15000000.0
0,2024-11-13,NYSE MKT,Peak Resources LP,4700000,13.00-15.00,expected,PRB,81075000.0
0,2024-11-12,NASDAQ Capital,Alpha Cognition Inc.,8695653,5.75,priced,ACOG,50000005.0
0,2024-11-12,,QDM International Inc.,,,filed,,7500000.0
0,2024-11-12,,KNOREX LTD.,,,filed,KNRX,15812500.0
0,2024-11-12,,GLAMOORE Capital Group Co Ltd.,,,filed,GMCG,9200000.0
0,2024-11-12,,MASTERBEEF GROUP,,,filed,MB,11500000.0
0,2024-11-12,,FPA ENERGY ACQUISITION CORP.,,,filed,FPAQU,115000000.0
0,2024-11-12,,Smart Digital Group Ltd,,,filed,SDM,9000000.0
0,2024-11-08,NASDAQ Global,Willow Lane Acquisition Corp.,11000000,10.00,priced,WLACU,110000000.0
0,2024-11-08,NASDAQ Capital,ASPAC III Acquisition Corp.,5500000,10.00,priced,ASPCU,55000000.0
0,2024-11-08,,Flag Fish Acquisition Corp,,,filed,FFSHU,69000000.0
0,2024-11-08,,JFB Construction Holdings,,,filed,JFB,5929687.5
0,2024-11-07,,Navios South American Logistics Inc.,,,withdrawn,,
0,2024-11-07,NASDAQ Capital,ADURO CLEAN TECHNOLOGIES INC.,941177,4.25,priced,ADUR,4000002.0
0,2024-11-07,NASDAQ Global,GSR III Acquisition Corp.,20000000,10.00,priced,GSRTU,200000000.0
0,2024-11-07,,Masonglory Ltd,,,filed,MSGY,10350000.0
0,2024-11-06,,AgiiPlus Inc.,,,withdrawn,,
0,2024-11-06,,Artius II Acquisition Inc.,,,filed,AACBU,230000000.0
0,2024-11-05,,Skycorp Solar Group Ltd,,,filed,PN,15525000.0
0,2024-11-04,,FBS Global Ltd,,,withdrawn,,
0,2024-11-04,,HOT MOM INTERNATIONAL INC.,,,filed,LAMA,1000000.0
0,2024-11-04,,Mega Fortune Co Ltd,,,filed,,21562500.0
0,2024-11-04,,OMS Energy Technologies Inc.,,,filed,OMSE,63888890.0
0,2024-11-01,NASDAQ Global,Newbury Street II Acquisition Corp,15000000,10.00,priced,NTWOU,150000000.0
